count,track_name,timing,track_id,artist,album,acousticness,danceability,instrumentalness,liveness,loudness,tempo
1,Oncle Jazz,1,204t5SErksNRHRhU52g5JF,Men I Trust,Oncle Jazz,0.535,0.712,0.816,0.0813,-16.776,139.995
2,Mirage,1,1w327AHTCoChRIkJUprAnV,Orion Sun,A Collection of Fleeting Moments and Daydreams,0.87,0.683,0.673,0.108,-10.058,117.095
3,(dream),0,39iczvfNkZstM8KY8dNDFC,salvia palth,melanchole,0.926,0.328,0.825,0.118,-13.283,147.398
4,Précis,0,3s9YtjSkxeeriM92mASyoO,Vansire,Angel Youth,0.96,0.532,0.757,0.103,-13.284,80.998
5,cloud castle,1,6cSkQRxoJt6FHGrWVIGDTJ,Luna Li,jams EP,0.04,0.556,0.9,0.245,-6.731,83.9
6,Ante Meridiem,0,1Ktm8giomJp1Fb8EI39oHn,Men I Trust,Untourable Album,0.818,0.611,0.941,0.12,-15.318,138.01
7,Middle of Nowhere,1,52Td1R2HmvP5gevSgUaifx,Macabre Plaza,Remember Me? EP from Mp,0.0562,0.611,0.927,0.194,-6.064,105.788
8,Sandy Kim,1,70JkATjg7LzZ9HA22SmmcK,Acid Ghost,Vacation II,0.885,0.658,0.909,0.152,-7.837,132.986
9,January,0,2UxxDidNYPuTLiMNKBHMiK,Loving,If I Am Only My Thoughts,0.834,0.539,0.922,0.256,-7.281,106.14
10,From the Subway Train,1,0qOCy2LqvdkMora7eZsJhQ,Vansire,Angel Youth,0.527,0.392,0.015,0.217,-10.279,72.104
11,Hard to Let Go,0,7lKN7pik3CelVWHWGp6DfB,Men I Trust,Hard to Let Go,0.765,0.806,0.874,0.12,-14.927,141.903
12,mirror,1,20jwGZMmI7Cl9Kd5O8yJrQ,Luna Li,jams EP,0.0347,0.454,0.774,0.142,-7.338,69.816
13,Till the Wheels Fall Off,1,29ac5I0B0NierBqLwJgMkc,Macabre Plaza,Out With the Old in With the Taboo,0.0109,0.575,0.84,0.136,-10.767,120.028
14,If You Love Her,1,1MaDw1BQ797k8j7xXnH486,Tokyo Tea Room,If You Love Her,0.178,0.598,0.641,0.153,-8.088,90.062
15,I hope that you think of me,1,42LY6qYxu3L6nJ7Dt72gNy,Pity Party (Girls Club),Hard Times / Bad Trips,0.0625,0.845,6.41E-05,0.108,-9.857,105
16,Sugar,1,2joEpsXflccZD0ZwKEdz5m,Men I Trust,Untourable Album,0.647,0.823,0.327,0.14,-12.75,114.026
17,Cracking,0,3VwgtTh9D0CubY32jdhI5U,Crumb,Jinx,0.39,0.635,0.783,0.0993,-11.621,121.951
18,daydream,1,1t0faf8iw1XbaJ0yznpPcB,Luna Li,jams 2,0.349,0.44,0.973,0.412,-9.889,86.809
19,A Devil's Touch in the Midwest,1,0W2CHYtNLuEBJCCuqOona7,Macabre Plaza,An Old Smile,0.754,0.482,0.847,0.102,-15.798,159.287
20,Précis Two,0,5LiO40bi3foQNkIDg4PlGV,Vansire,After Fillmore County,0.602,0.607,0.706,0.599,-11.963,121.485
21,"Say, Can You Hear",1,7JvjjlZ5R1I1xRDsEkPuJ7,Men I Trust,"Say, Can You Hear",0.78,0.623,0.763,0.11,-14.1,157.912
22,Estrangers,1,6ZyJiCgtPz0gJrhubGLkud,No Vacation,Estrangers,0.31,0.567,0.875,0.218,-6.421,122.018
23,welcome and goodbye,0,00RLNHc2jkEjUoCUlFgPVT,"Dream, Ivory",welcome and goodbye,0.0194,0.584,0.756,0.0739,-5.175,140.031
24,Misery Moon,0,5EwRVuWJpNNMYM4UkT561o,Luna Li,Duality,0.819,0.797,0.23,0.108,-12.42,119.78
25,Abandoned Plaza,1,49Q4EjrGxgllOt6jXJPfeI,Macabre Plaza,Out With the Old in With the Taboo,0.00853,0.513,0.78,0.0912,-7.575,154.038
26,Always Lone,1,5zYDxzEPmchIgpULm0QgJA,Men I Trust,Untourable Album,0.7,0.587,0.757,0.165,-10.726,83.406
27,C U Girl,1,6FBzhcfgGacfXF3AmtfEaX,Steve Lacy,C U Girl,0.663,0.414,0.0523,0.128,-8.911,100
28,Pistol,0,2nD9CUfMMUVxL0UyFs8fGG,Cigarettes After Sex,Pistol,0.519,0.651,0.708,0.0959,-11.74,109.979
29,rises the moon,0,51Grh1RyUDcMBbpuyUIUHI,Liana Flores,recently,0.947,0.483,0.145,0.106,-20.149,137.35
30,2516,1,0R6sz2EUOMSM3qaZHEpG63,Luna Li,jams EP,0.0551,0.514,0.824,0.195,-5.562,89.984
31,All Night,0,0XvoMOI25j4wODyk8nuANS,Men I Trust,Oncle Jazz,0.732,0.795,0.899,0.0893,-13.354,146.003
32,Think it Through,1,6Vb1cXiRAFJRNQy0pTNsRE,Vansire,The Modern Western World,0.549,0.658,0.0897,0.109,-10.089,158.494
33,Some,1,4riDfclV7kPDT9D58FpmHd,Steve Lacy,Some,0.00548,0.784,0.254,0.0995,-6.417,104.01
34,You're All I Want,0,4nvLuqwTOZdEJI1fcHXv8h,Cigarettes After Sex,You're All I Want,0.363,0.233,0.828,0.113,-10.947,182.161
35,The Bug Collector,0,5nVE45ithgyVocZp5XLAk6,Haley Heynderickx,I Need to Start a Garden,0.777,0.538,0.329,0.0967,-9.705,99.622
36,Organon,0,7uKoqhOj7sfF1GowMuAc6I,Men I Trust,Untourable Album,0.831,0.6,0.901,0.102,-15.751,96.977
37,Flook,1,4uJygJrv9ZRqkxfDijPxod,Hector Gachan,Untitled '91,0.732,0.701,0.796,0.413,-11.643,109.363
38,Slowdown,0,2yp4xIO3jBzsU3aK3pS4dv,Brad stank,Eternal Slowdown,0.499,0.693,0.631,0.338,-13.946,95.955
39,Lunes 1 De Abril,1,0BaFtki3CupqritofvTRSj,The Holydrug Couple,Moonlust Demos,0.00857,0.451,0.908,0.166,-4.716,120.892
40,Metamodernity,1,4RGWHfQeJftd5XrP8JUgFj,Vansire,Metamodernity,0.389,0.823,0.165,0.108,-10.077,121.968
41,Numb (Garage Session),0,7BkMaeJDM9G257DFTvjlCX,Men I Trust,Forever Live Sessions,0.892,0.565,0.865,0.0789,-14.307,133.931
42,Loverboy,0,3XCpEFU4uXsBq5WmVQQKC9,The Marías,"Superclean, Vol. II",0.808,0.652,0.422,0.117,-18.704,130.47
43,Yards / Gardens,1,3PphHkiVdhRaO1EWH6ZWqZ,Kate Bollinger,Look at it in the Light,0.268,0.8,0.617,0.11,-7.52,107.984
44,Heavy Heart,0,1AW3Kj7OuOv9o6YxwcpvzM,Pity Party (Girls Club),Heavy Heart,0.453,0.649,0.000722,0.129,-9.693,130.002
45,Intermission,0,4hm33jVolpa22nzhlY72jD,Strawberry Guy,Taking My Time to Be,0.261,0.444,0.823,0.112,-7.219,98.958
46,Serenade of Water,0,5tt7O3V5vwf8ltkr1Wgxrf,Men I Trust,Untourable Album,0.848,0.647,0.903,0.112,-10.816,79.503
47,John Wayne,0,6TWcSqCntZhH5vyc35kkob,Cigarettes After Sex,Cigarettes After Sex,0.343,0.441,0.884,0.0982,-8.389,123.933
48,Night Vision,1,1MwPvniPtqPkXwtQDFiJdb,Vansire,The Modern Western World,0.535,0.688,0.482,0.217,-9.16,121.046
49,When I,1,4QUsmmXmINYXwh7UsiMX2j,Steve Lacy,The Lo-Fis,0.0292,0.824,0.835,0.0676,-10.422,125.961
50,Intolewd,0,79rfskJwK9NLN3p5cdccth,Matt Maltese,Krystal,0.91,0.759,0.194,0.104,-16.991,85.092
51,生活在別處,1,1sTuEGqpRCGlRADyBv61z0,陳婧霏,陳婧霏,0.574,0.302,0.000687,0.131,-8.586,207.782
52,你把我的,0,6Jz3t1FJQISyASFyBEioWL,my little airport,跟你開玩笑,0.377,0.586,0.809,0.0891,-11.796,101.956
53,Maybe Maybe,0,55e4I1RfHjQT1XAf7glB2J,The Chairs,Maybe Maybe,0.723,0.675,0.0057,0.12,-8.472,90.017
54,Outro,0,7vkEEoH4YmeKMO44f47nP8,Di Ma,孤岛,0.868,0.531,0,0.102,-14.718,139.786
55,雲的距離,0,6645VYAAcaBWlVYUmiUVQm,宋柏緯,雲的距離,0.662,0.706,9.68E-05,0.116,-9.355,80.022
56,Blueberry Baby,0,6H9yzuV2014o0FHahstZfY,陳婧霏,Blueberry Baby,0.854,0.381,0.176,0.134,-10.219,124.847
57,世界正中,0,1Th5cvvMIyYpuJaRHoKWAP,陳粒,世界正中,0.338,0.688,2.80E-05,0.102,-9.102,119.9
58,詩歌舞街,1,45rZ0CtRR470rAOFiWJNeM,my little airport,SABINA之淚,0.732,0.641,0.0598,0.115,-15.395,121.974
59,Archie's Funeral,0,4zCGD3HKuzvRTNDCYC9ldn,The Chairs,Archie's Funeral,0.77,0.416,0.0155,0.0848,-13.038,137.28
60,Little Song,0,5lnnQwPdbF3uJioNX9Z5Gw,The Fur.​,Town,0.739,0.736,0.00629,0.672,-14.603,79.981
61,人間指南,1,18n1uqpcYq3w663Z0Cquqs,陳婧霏,陳婧霏,0.721,0.557,0.176,0.346,-8.956,90.021
62,总有一天我会欺骗你,1,07UuCZbEgcPXqpDpVDQiQF,新裤子乐队,Sex Drugs Internet,0.174,0.661,0.000278,0.307,-8.658,130.017
63,走马,0,0cMCCfgXNvzpn9AgFJib76,陳粒,如也,0.892,0.608,0.00238,0.0909,-8.638,139.748
64,循環的夜,1,47jGYuKiZdYnRvnHTI1vYH,my little airport,跟你開玩笑,0.00199,0.553,0.419,0.0882,-10.174,133.994
65,夏日最美的三十張拍立得相片,0,0q2aQjmx78thNrEACINk4Z,The Chairs,夏日最美的三十張拍立得相片,0.931,0.645,0,0.0916,-10.662,86.058
66,積極向下,1,5EYCb402em5sZ1SPz6kbrz,陳婧霏,積極向下,0.185,0.587,0.0225,0.438,-6.609,139.989
67,World War Zero,0,29OZwEjRD6zumBWbVxROcx,VOOID,VOOID,0.98,0.364,0.0745,0.0934,-14.266,164.471
68,Lonely Day,1,7DclVCm9G4fCYszIpOh4u5,The Life Journey,来福胶泥,0.559,0.741,0.693,0.117,-8.894,117.039
69,祝星,1,4xX2Km7PorwBkzXuYzoiLS,陳粒,如也,0.0834,0.363,0.000952,0.22,-4.767,120.185
70,我們一起離開吧,0,5HtnfNpC6FoeKIswjbML92,my little airport,寂寞的星期五,0.117,0.272,0.563,0.0873,-9.742,210.106
71,晚風,0,6XppqdT4iqWSlQoCQUtD6v,陳婧霏,晚風,0.941,0.365,0.00716,0.109,-15.058,185.104
72,日常的鏡頭,0,1eV8d10G3S0YbK5Zn0Q20I,The Chairs,LOVELY SUNDAY,0.61,0.625,0.000686,0.0879,-11.286,105.923
73,马,0,2IjLtXQKaA9dTcnPwQJoeu,福禄寿,我用什么把你留住,0.788,0.503,0,0.231,-11.852,100.076
74,给抱着盒子的姑娘,0,501rWkDIlzIPRJEaF19p30,宋冬野,安和桥北,0.893,0.333,0.705,0.103,-19.169,135.608
75,奇妙能力歌,0,3mI8CEKN4jBiq41WHaOPOg,陳粒,如也,0.903,0.583,0.00157,0.0925,-10.511,109.805
76,舞舞舞,1,4nKJxWtqTI9begn3B3dhGV,陳婧霏,陳婧霏,0.693,0.529,0.212,0.105,-7.168,93.919
77,QUEEN,1,5PimlePLQd8xdf7uKccHqS,my little airport,SABINA之淚,0.699,0.453,0.0136,0.145,-13.896,178.211
78,給 來自月球的L,0,1AlOP5NfsY8pXsT9C2qXH0,The Chairs,Real Love Is...,0.803,0.477,0.00128,0.0861,-11.352,139.921
79,理查,1,6lMz5CHf0ziuvCpMklEZ4C,Our Shame,理查,0.485,0.678,0.075,0.113,-9.461,119.972
80,爱人穿过你,0,3pxE2CtlvqHfVs4f09tBIX,刘森,华北浪革,0.905,0.612,0.145,0.108,-14.193,119.967
81,梦里水乡,1,0txcEBZ4HWYYUTOG8DooyF,陳婧霏,梦里水乡(青春重置计划5 请回答1999),0.829,0.53,5.70E-05,0.0836,-8.429,123.861
82,七楼,0,39AAqvsYdQglthnEfoJPM7,陳粒,如也,0.791,0.61,0,0.136,-8.779,134.928
83,SABINA之淚,1,0bVAhqMaAOEqF9ZmpBXdII,my little airport,SABINA之淚,0.601,0.551,0.0131,0.107,-14.207,159.929
84,進入下一層新的夢之前,0,2LmNW7kMeYp2wUqMpIAge6,The Chairs,Shangri-La Is Calling,0.864,0.436,0,0.141,-13.827,173.038
85,夏夜晴朗的晚上,0,6wiN6mgr0WsJk0lMcfl8zu,Matt Lv,Fresh Soul,0.611,0.596,0.000218,0.125,-9.311,79.996
86,深藍,0,54ZstdCX7cfTl5zBLLCn2Z,陳婧霏,陳婧霏,0.62,0.577,0.00105,0.103,-9.683,133.98
87,今年一定带你去看海,1,5No9vr77a0AACobnwSJu9Z,和平饭店,今年一定带你去看海,0.101,0.368,3.52E-05,0.676,-7.494,185.988
88,自渡,0,27fbYFKVb7wbw3kgygxB4T,陳粒,小梦大半,0.913,0.365,0.000355,0.107,-16.254,122.999
89,LUNCH,0,4KPYzvCbNRFCljGyqyhlQb,my little airport,跟你開玩笑,0.279,0.473,0.823,0.109,-12.359,67.94
90,I’m here,0,4R96pnRtpAaAw0cadniXTx,Osean,Sundial,0.861,0.455,0.0366,0.125,-11.621,61.031
91,I Found Out Too Late,1,76wzhx8F2JZOZwAJXSahUU,陳婧霏,I Found Out Too Late,0.811,0.547,0.0681,0.12,-8.148,170.021
92,手捧一杯酒,1,5k41tbPUJSYqw3anAFmAw3,The Chairs,LOVELY SUNDAY,0.217,0.616,0.0843,0.315,-8.744,100.033
93,失眠症,1,554mXEZMcxyk8k2kC58rmr,和平饭店,隐藏菜单,0.00035,0.632,0.18,0.221,-6.017,133.021
94,桥豆麻袋,1,6eAMd6ZcwdcQJJFH2MVqbN,陳粒,小梦大半,0.696,0.831,0.00425,0.0995,-12.744,109.979
95,Hey Hey Baby,1,2Mh7XNWkAXgEjBXSskgUyD,my little airport,你說之後會找我,0.383,0.581,0.00333,0.0999,-13.459,89.983
96,消亡史,1,7LOKYieAwZPjyjydCmxqan,陳婧霏,陳婧霏,0.914,0.276,0.00338,0.154,-7.895,139.863
97,夏夜晚風,0,4PYzRKJF5qJUD2JAstC5p4,Layton Wu,夏夜晚風,0.814,0.699,0.0838,0.114,-10.781,76.988
98,也許是你拯救了我,0,4QoGa1J42k8YWVUaVM5ETC,The Chairs,Shangri-La Is Calling,0.55,0.549,0.399,0.102,-8.574,141.974
99,December Night,0,30QQ26PDR0uFTV2Q0bv03G,黃小楨,No Budget,0.875,0.461,6.50E-06,0.112,-12.317,147.862
100,绝对占有相对自由,0,0nTLPQIE2i1R3Sfv14HMcW,陳粒,如也,0.746,0.645,0.0025,0.0892,-9.352,115.01
101,Fifth,0,42cd6z8jhsKWx5So4pKJ7k,Fabrizio Paterlini,Fifth,0.992,0.473,0.799,0.0859,-30.86,127.28
102,Supermarket,0,7fTsKBsnYyk0IG0zVNduEM,Stephen Rennicks,Normal People (Original Score from the Television Series),0.996,0,0.595,0.1,-32.82,0
103,Ferme Les Yeux,0,1Kb2DqjHRvOcT5xeWtz3t5,Sylvain Chauveau,Des Plumes Dans La Tête,0.994,0,0.973,0.0922,-23.636,0
104,Breath In,1,2ds4sKFAQHeO1Nu6YFKvBP,Yehezkel Raz,"Preludes, Book 1 - Streams",0.994,0.312,0.921,0.088,-36.733,77.806
105,In Between Breaths,0,5R7hEGK5lppKriOzmQZd6v,SYML,You Knew It Was Me,0.994,0.467,0.933,0.081,-16.997,179.694
106,Back in Time,0,6KVyd6WJOcjvr0HVKWfHa6,Borrtex,Reflections,0.994,0.523,0.906,0.0915,-26.471,159.892
107,Sorrow and Bliss,0,1aEOhvZOwZDlZMzJgKlwve,Melodrama,Wounded Heart,0.987,0.556,0.77,0.115,-15.879,130.059
108,I Just Want You - From 'Castle',0,0EnJ7hwoixkSPHQHMDAsQ5,Mercuzio Pianist,I Just Want You (From 'Castle'),0.99,0.699,0.836,0.0649,-22.361,129.775
109,Eloise,0,3qkJHyJmdBB6WRjF3RiaA0,Jordan Seigel,Half Brothers (Original Motion Picture Soundtrack),0.841,0.293,0.902,0.098,-21.534,56.401
110,Distractions,0,4Ks0OfgQpb58nHvQrcaiPi,Fabrizio Paterlini,Transitions II,0.99,0.123,0.945,0.098,-38.528,114.425
111,Chorégraphie du départ - Instrumental,0,483q7jVbT1sTIOEopqahEc,Daprinski,Chorégraphies de l'ordinaire (Instrumentals),0.883,0,0.914,0.0957,-16.055,0
112,Milestone,0,3SZQKspfgztDJDhghzJT3f,Yehezkel Raz,"Preludes, Book 2 - Torrents",0.985,0.118,0.961,0.0966,-36.502,182.072
113,Mood Effects,0,2huiZlrSjqdehvqdwL4kbW,Melodrama,Wounded Heart,0.984,0.463,0.877,0.0951,-15.739,124.015
114,Morning Light,1,1TlLiTOmPm9TRTjLXvzNKY,Alexei Surovykh,Morning Light,0.966,0.23,0.853,0.111,-22.94,193.495
115,Istanbul Wedding,0,3jr9gtpaDA4XFdDSqRpPZk,Fabrizio Paterlini,Transitions,0.995,0.376,0.949,0.117,-33.177,116.149
116,Ode to Vivian - Rework,0,18oB9NlhCMSzlte5KAj5tl,Patrick Watson,Ode to Vivian (Rework),0.973,0.451,0.915,0.104,-29.372,132.813
117,Elegie II - Reprise,1,5EMhyZeaCTTJqLClaZpga7,Luca Longobardi,Van Gogh - La Nuit Étoilée,0.988,0.408,0.945,0.0815,-26.595,103.918
118,Emerald,1,5X2vI0gKaCrTQ7RFmSpPeQ,Yehezkel Raz,"Preludes, Book 2 - Torrents",0.994,0.293,0.93,0.115,-35.27,146.479
119,Escape To Solitude,0,0B7I8htX6hH1dvo7witFQD,Melodrama,Wounded Heart,0.995,0.455,0.928,0.11,-19.676,139.999
120,"Home, at Last",0,0PPrNdftcnEy8Hso2iQ5uL,Fabrizio Paterlini,Transitions III,0.983,0.346,0.941,0.0787,-35.359,82.161
121,The Mentor,0,5EME2V1E9ZCEBWr1Br0I0x,Sleeping At Last,Many Beautiful Things (Original Motion Picture Soundtrack),0.994,0.58,0.953,0.104,-24.587,139.87
122,Reframe,0,67ksXATAe92UP1mwod4e3s,Norman Dück,By Your Side,0.99,0.319,0.942,0.102,-29.23,138.784
123,"J'y suis jamais allé - Theme from ""Amelie""",1,1tjYTA591mOo8jnAlk7T65,Mercuzio Pianist,"Hidden Gems, Vol. 1",0.964,0.517,0.924,0.119,-17.598,105.034
124,Epilogue,0,47DeTufpEGrePu6TaVEuoN,Jóhann Jóhannsson,The Theory of Everything (Original Motion Picture Soundtrack),0.989,0.252,0.873,0.108,-24.711,135.774
125,Misery,0,1aSYjufU8PNmUvHibsngcx,Melodrama,Wounded Heart,0.991,0.601,0.927,0.12,-20.653,113.958
126,Leafs' Dance,0,6HZroTm8ScgYCelR3Bg8le,Fabrizio Paterlini,Transitions III,0.979,0.343,0.953,0.0962,-37.526,100.595
127,Behind Every Decision,0,2kbruQXVXFmxxm4l75zuwy,Yehezkel Raz,"Preludes, Book 2 - Torrents",0.995,0.235,0.79,0.0956,-37.822,69.677
128,Happy Tears,0,5qoxaTocADLacguJtCaGU7,James Heather,Modulations: EP2,0.993,0.277,0.922,0.109,-27.299,68.3
129,dream river.,0,1Gdcsjq1KpDyqaHvnBr7u1,Woodsman,dream river. (Async Ross reworks),0.969,0.252,0.876,0.105,-26.619,140.779
130,Perpetual Motion,0,5z0OIg2MtPXnjo2XnKn69V,Jacob LaVallee,Perpetual Motion,0.993,0.405,0.947,0.11,-21.851,117.147
131,Gloomy Night,0,38Mh3KBXS95kSJTar6dI9l,Melodrama,Wounded Heart,0.991,0.395,0.899,0.128,-16.831,216.019
132,Homesick,0,0CrgeJUsttpoRwDl7g7Rru,Fabrizio Paterlini,Transitions,0.99,0.266,0.92,0.0894,-34.775,123.76
133,With Love Comes Loss (Arr. for Piano Solo),0,33FtwY8jXSPaHRtEGFggwO,John Powell,Piano Solos from How to Train Your Dragon: The Hidden World,0.996,0,0.957,0.108,-30.998,0
134,Before You Left,0,6IVIZuZrtuSlSPghHR1vRU,Yehezkel Raz,"Preludes, Book 1 - Streams",0.995,0.473,0.956,0.0996,-37.476,94.988
135,Pour Les Oiseaux,0,16VVal7diuS4a6ONTUXtmy,Sylvain Chauveau,Des Plumes Dans La Tête,0.968,0.389,0.918,0.101,-19.771,70.422
136,La noyée - Amelie soundtrack,1,2ZZ3SXe3q8fwzVtIrQpEKy,Mercuzio Pianist,La noyée,0.995,0.567,0.892,0.0981,-21.787,129.95
137,Melancholy Life Is Sad,0,00aNuc6lcTOMXxmgmnxPYZ,Melodrama,Wounded Heart,0.995,0.615,0.921,0.113,-14.302,119.956
138,If only I could tell,0,3x25wW5Z2pUtfrNJbPna7o,Fabrizio Paterlini,Transitions,0.989,0.312,0.907,0.0947,-39.919,66.601
139,Find a Melody (Edit),0,78hENZb4lorYnIGuASkmiq,Andrea Vanzo,Find a Melody (Edit),0.983,0.59,0.935,0.098,-25.69,121.897
140,Umrika,0,5AREdjPjB1gYZU2aKm75I0,Dustin O'Halloran,Umrika (Original Motion Picture Soundtrack),0.933,0.102,0.782,0.0873,-35.073,216.429
141,Memento,0,7rluktTepDJTxl6Jb35otq,Ben Crosland,The Turn,0.985,0.42,0.942,0.0889,-24.783,136.583
142,Birds,1,42EBfKNHKa9gXsfsSPqGaq,Virginio Aiello,Easy Piano Songs,0.986,0.207,0.793,0.109,-29.159,179.686
143,The Nature of Melancholy,0,7w52bbdrOWpBQK0cD0MBmn,Melodrama,Wounded Heart,0.986,0.453,0.95,0.11,-16.257,67.021
144,Summer Story,0,14rJfKM7UnD93WcfeFX76D,Fabrizio Paterlini,Transitions,0.989,0.474,0.943,0.1,-30.834,66.392
145,For Stormboy,0,1gLbbnyTOnx6LrCQ87c0gp,Various Artists,Ambrosia (Official Soundtrack),0.992,0.197,0.861,0.0878,-29.125,123.367
146,Chalkboard,1,7bJ6xGa3RG2dQgNiK10uAv,Jóhann Jóhannsson,The Theory of Everything (Original Motion Picture Soundtrack),0.889,0.432,0.772,0.0939,-15.925,92.682
147,The North Wind - Daigo Hanada Re-work,0,3oM82Zz63KrnYQ0ZaTTQ9l,Jim Perkins,The North Wind (Daigo Hanada Re-work),0.964,0.181,0.95,0.106,-31.629,137.152
148,Quiet Assumptions,0,0uVs0ISRhn8xlBYTJcSffL,Elskavon,Traditions & Traitors,0.988,0.345,0.894,0.0892,-30.974,70.737
149,In Memories,0,4q01Psv4bRSpRCyI6gXZiY,Melodrama,Wounded Heart,0.982,0.498,0.938,0.106,-19.357,100.01
150,Gentle Thoughts,0,3v5GaIy9gSF1BlvqW0faxu,Fabrizio Paterlini,Transitions II,0.965,0.594,0.963,0.0988,-34.495,115.046
151,All Night Parking (with Erroll Garner) Interlude,1,496vIKS2INz840xZaKncvR,Adele,30,0.67,0.734,2.35E-05,0.194,-9.666,127.989
